"","Year","ExpDay2","channel","Met_gAFDM_m2","Nup_gAFDM_m2","Pup_gAFDM_m2","Nfix_gAFDM_m2"
"1",2016,"D2",1,2.01142857142861,2.01142857142861,2.01142857142861,4
"2",2016,"D2",2,3.72184615384605,3.72184615384605,3.72184615384605,7.2
"3",2016,"D2",3,3.4559999999999,3.4559999999999,3.4559999999999,5.2
"4",2016,"D2",4,7.34666666666698,7.34666666666698,7.34666666666698,16
"5",2016,"D2",5,11.1599999999996,11.1599999999996,11.1599999999996,10
"6",2016,"D2",6,12.3200000000003,12.3200000000003,12.3200000000003,30
"7",2016,"D2",7,1.57142857142851,1.57142857142851,1.57142857142851,3.6
"8",2016,"D2",8,3.20685714285706,3.20685714285706,3.20685714285706,3.2
"9",2016,"D2",9,11.3399999999999,11.3399999999999,11.3399999999999,14
"10",2016,"D2",10,31.6000000000001,31.6000000000001,31.6000000000001,35.2
"11",2016,"D2",11,6.60479999999995,6.60479999999995,6.60479999999995,8.4
"12",2016,"D2",12,6.74999999999981,6.74999999999981,6.74999999999981,9.6
"13",2016,"D2",13,19.7600000000001,19.7600000000001,19.7600000000001,39.2
"14",2016,"D2",14,4.58999999999987,4.58999999999987,4.58999999999987,11.2
"15",2016,"D2",15,3.66933333333316,3.66933333333316,3.66933333333316,1.6
"16",2016,"D2",16,41.5800000000002,41.5800000000002,41.5800000000002,25.6
"17",2016,"D2",17,5.12,5.12,5.12,NA
"18",2016,"D2",18,4.5999999999999,4.5999999999999,4.5999999999999,8
"19",2016,"D2",19,10.08,10.08,10.08,13.2
"20",2016,"D2",20,8.61000000000045,8.61000000000045,8.61000000000045,13.6
"21",2016,"D2",21,30.24,30.24,30.24,37.6
"22",2016,"D2",22,3.35020408163256,3.35020408163256,3.35020408163256,2.8
"23",2016,"D2",23,6.76800000000033,6.76800000000033,6.76800000000033,20.4
"24",2016,"D2",24,13.2480000000004,13.2480000000004,13.2480000000004,19.2
"25",2016,"D2",25,7.99999999999986,7.99999999999986,7.99999999999986,4.4
"26",2016,"D2",26,2.04315565031979,2.04315565031979,2.04315565031979,4
"27",2016,"D2",27,59.7999999999992,59.7999999999992,59.7999999999992,50.4
"28",2016,"D2",28,9.99999999999979,9.99999999999979,9.99999999999979,4.8
"29",2016,"D2",29,10.8266666666663,10.8266666666663,10.8266666666663,14.8
"30",2016,"D2",30,6.60000000000016,6.60000000000016,6.60000000000016,14
"31",2016,"D1",1,1.55999999999983,1.55999999999983,1.55999999999983,0.8
"32",2016,"D1",2,6.0319999999998,6.0319999999998,6.0319999999998,1.6
"33",2016,"D1",3,3.27040000000016,3.27040000000016,3.27040000000016,6.4
"34",2016,"D1",4,13.1600000000004,13.1600000000004,13.1600000000004,7.2
"35",2016,"D1",5,24.8880000000005,24.8880000000005,24.8880000000005,17.2
"36",2016,"D1",6,64.1920000000002,64.1920000000002,64.1920000000002,31.6
"37",2016,"D1",7,1.97119999999998,1.97119999999998,1.97119999999998,1.6
"38",2016,"D1",8,0.873600000000053,0.873600000000053,0.873600000000053,2.8
"39",2016,"D1",9,19.8320000000002,19.8320000000002,19.8320000000002,8.4
"40",2016,"D1",10,42.824,42.824,42.824,46.8
"41",2016,"D1",11,6.0799999999999,6.0799999999999,6.0799999999999,4.8
"42",2016,"D1",12,12.8142857142852,12.8142857142852,12.8142857142852,9.2
"43",2016,"D1",13,39.6342857142841,39.6342857142841,39.6342857142841,38
"44",2016,"D1",14,14.8966666666666,14.8966666666666,14.8966666666666,8
"45",2016,"D1",15,3.07999999999966,3.07999999999966,3.07999999999966,3.2
"46",2016,"D1",16,29.2600000000007,29.2600000000007,29.2600000000007,21.6
"47",2016,"D1",17,12.1333333333328,12.1333333333328,12.1333333333328,8
"48",2016,"D1",18,7.99999999999983,7.99999999999983,7.99999999999983,4.4
"49",2016,"D1",19,NA,NA,NA,15.2
"50",2016,"D1",20,11.6666666666666,11.6666666666666,11.6666666666666,24.8
"51",2016,"D1",21,24.9400000000011,24.9400000000011,24.9400000000011,46.4
"52",2016,"D1",22,3.05142857142869,3.05142857142869,3.05142857142869,4.8
"53",2016,"D1",23,10.5,10.5,10.5,27.2
"54",2016,"D1",24,15.3571428571422,15.3571428571422,15.3571428571422,38.8
"55",2016,"D1",25,9.42400000000031,9.42400000000031,9.42400000000031,14.8
"56",2016,"D1",26,1.40853333333334,1.40853333333334,1.40853333333334,8.4
"57",2016,"D1",28,6.39360000000035,6.39360000000035,6.39360000000035,17.2
"58",2016,"D1",29,13.4999999999991,13.4999999999991,13.4999999999991,24
"59",2016,"D1",30,14.5833333333336,14.5833333333336,14.5833333333336,28
"60",2016,"D1",27,77.760000000001,77.760000000001,77.760000000001,58.8
