Code,Iceland,year,ChanNum,DFIX,MELO,DIATMA,HAN,MER,FRAG,SYN,NAVNITZ,SMLLD,DOTH,GRN,YG,CYF,CYNF,Other
C50,Iceland,2016,29,16.5,0,0,0,0,0,0,0,0,0,0,0,83.5,0,0
C100,Iceland,2016,12,71.875,0,0,0,0,0,0,0,0,0,0,0,28.125,0,0
C150,Iceland,2016,25,1.309004363,0,0,0,0,0,0,0,0,0,0,0,98.69099564,0,0
C200,Iceland,2016,14,53.44827586,0,0,0,0,0,0,0,0,0,0,0,46.55172414,0,0
D0,Iceland,2016,24,14.66666667,0,0,1.333333333,8.666666667,0.333333333,0,0.333333333,0,0,0,0,74.66666667,0,0
D25,Iceland,2016,29,10.50583658,0,0.194552529,0,0,0,0,0,0,1.167315175,2.529182879,0,85.60311284,0,0
D50,Iceland,2016,19,1.455160745,0,0,0,0,0,0,0,0,0,0,0,98.54483926,0,0
D100,Iceland,2016,23,65.97744361,0,0,0,0,0,3.195488722,0,0,0,0,0,30.82706767,0,0
D150,Iceland,2016,9,22.50146113,0,0,0,0,0,0.467562829,0,0,0,1.694915254,0,75.33606078,0,0
D200,Iceland,2016,30,10.7633344,0,0,0,0,0,0,0.638773555,0,0,0,0,88.59789205,0,0
E0,Iceland,2016,6,39.5890411,0,0,0,0,0,1.643835616,0,0,0,3.561643836,0,55.20547945,0,0
E25,Iceland,2016,16,2.685185185,0,0,0,0,0.092592593,0,0,0,0,14.16666667,0,83.05555556,0,0
E50,Iceland,2016,10,35.85699264,0,0,0,0,0,0,0,0,0,8.7276551,0,55.41535226,0,0
E100,Iceland,2016,13,2.940193785,0,0,0,0,0,0,0,0,0,1.871032409,0,95.18877381,0,0
E150,Iceland,2016,27,8.379544054,0,0,0,0,0,0.616142945,1.047443007,0,0,18.79235983,0,71.16451017,0,0
E200,Iceland,2016,21,18.65509761,1.373825018,0.14461316,0,0,0,1.156905278,0.361532899,0,0.433839479,11.1352133,0,66.73897325,0,0
LN_LP,Iceland,2017,1,8.780487805,0,0,0,0,0,0,0,0,0,0,0,91.2195122,0,0
HN_HP,Iceland,2017,2,0,47.77562863,0,0,0.967117988,8.3172147,1.353965184,20.11605416,7.350096712,1.160541586,5.415860735,0,3.868471954,3.675048356,0
HN_LP,Iceland,2017,3,0,17.47572816,0,10.67961165,0,4.854368932,8.737864078,5.825242718,2.912621359,8.737864078,27.18446602,0,13.59223301,0,0
LN_LP,Iceland,2017,4,0,0,0,0,0,0,0,0,25,0,0,0,75,0,0
HN_HP,Iceland,2017,5,0.700934579,0,80.14018692,0.700934579,5.841121495,1.869158879,0,1.168224299,2.570093458,1.869158879,2.803738318,2.336448598,0,0,0
HN_LP,Iceland,2017,6,2.222222222,46.48148148,0,0.555555556,0,5.925925926,10.92592593,18.51851852,1.481481481,2.222222222,11.11111111,0,0.555555556,0,0
LN_LP,Iceland,2017,7,0,0,0,0,0,0,0,7.142857143,0,0,0,0,0,92.85714286,0
HN_HP,Iceland,2017,8,0,12.6984127,0,0,0,49.20634921,8.888888889,24.44444444,1.587301587,3.174603175,0,0,0,0,0
HN_HP,Iceland,2017,9,0,0.514138817,63.49614396,0,3.856041131,3.341902314,0,4.11311054,6.16966581,15.16709512,0.514138817,0,2.313624679,0.514138817,0
LN_LP,Iceland,2017,10,17.95665635,0,0,0,0,0,4.643962848,0,0,0,0,0,77.3993808,0,0
HN_LP,Iceland,2017,11,0,76.91197691,1.731601732,0,2.164502165,6.204906205,0,5.483405483,2.308802309,4.473304473,0,0.721500722,0,0,0
HN_LP,Iceland,2017,12,0,4.282655246,66.16702355,3.211991435,6.209850107,2.141327623,5.781584582,1.070663812,2.141327623,2.569593148,6.423982869,0,0,0,0
HN_LP,Iceland,2017,13,0,8.816705336,0,0.696055684,0.928074246,14.38515081,20.41763341,42.92343387,3.944315545,3.016241299,2.088167053,0,2.320185615,0.464037123,0
HN_HP,Iceland,2017,14,0,35.89041096,11.50684932,0,6.301369863,14.52054795,3.287671233,1.369863014,9.04109589,4.383561644,12.60273973,0,0,0.273972603,0.821917808
LN_LP,Iceland,2017,15,8.208955224,0,2.23880597,0,1.492537313,5.223880597,0,0,0,0,0,0,82.8358209,0,0
HN_LP,Iceland,2017,16,1.01010101,48.08080808,0.404040404,0,2.02020202,12.52525253,25.05050505,5.050505051,0.606060606,1.818181818,0,1.616161616,1.818181818,0,0
HN_LP,Iceland,2017,17,0,0,14.28571429,0,0,0,0,7.142857143,71.42857143,7.142857143,0,0,0,0,0
HN_HP,Iceland,2017,18,1.593625498,4.648074369,0,0,0,18.06108898,49.53519256,15.53784861,3.320053121,3.320053121,0,0,3.054448871,0,0.929614874
LN_LP,Iceland,2017,19,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
HN_HP,Iceland,2017,20,3.003003003,9.90990991,36.33633634,1.801801802,1.801801802,12.61261261,5.105105105,0.900900901,19.21921922,7.207207207,1.201201201,0.600600601,0,0,0.600600601
LN_LP,Iceland,2017,21,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
HN_HP,Iceland,2017,22,0,7.159353349,52.88683603,2.07852194,5.080831409,3.695150115,5.080831409,0,1.154734411,0,22.86374134,0,0,0,0
LN_LP,Iceland,2017,23,56.8627451,0,0,0,0,0,0,5.882352941,0,0,0,0,37.25490196,0,0
LN_LP,Iceland,2017,24,0.795755968,0,0,0,0,0,0,0,0,0,0,0,99.20424403,0,0
HN_HP,Iceland,2017,25,0.497512438,22.3880597,0,0,0.995024876,16.91542289,40.13266998,10.94527363,0.829187396,4.64344942,2.155887231,0,0.497512438,0,0
LN_LP,Iceland,2017,26,0.832925037,0,0,0,0,0,0,0,0,0,0,0,99.16707496,0,0
HN_LP,Iceland,2017,27,0,32.04134367,0.258397933,0,0,29.19896641,21.96382429,6.201550388,2.067183463,4.134366925,4.134366925,0,0,0,0
HN_LP,Iceland,2017,28,0,2.857142857,76,0,1.428571429,7.428571429,2.857142857,0.571428571,2.285714286,2.571428571,0,0,4,0,0
HN_LP,Iceland,2017,29,1.423487544,67.97153025,3.914590747,0,7.829181495,9.964412811,0,2.491103203,4.62633452,1.779359431,0,0,0,0,0
HN_HP,Iceland,2017,30,3.376623377,36.36363636,11.42857143,1.038961039,3.636363636,11.94805195,25.45454545,0,5.714285714,1.038961039,0,0,0,0,0
