"","Year","ExpDay2","channel","Met_gAFDM_m2","Nup_gAFDM_m2","Pup_gAFDM_m2"
"1",2017,"D1",1,8.49769411764711,10.6221176470588,11.568
"2",2017,"D1",2,42.3102000000001,26.3444,27.864
"3",2017,"D1",3,2.56428172549021,1.63200000000001,3.23366588235295
"4",2017,"D1",4,1.20078550079491,0.569599999999992,1.29782964705882
"5",2017,"D1",5,10.24224,5.62613333333334,6.93879999999994
"6",2017,"D1",6,28.38,22.4808,12.276
"7",2017,"D1",7,0.785326829268292,0.854400000000002,2.24430682352939
"8",2017,"D1",8,16.3856,10.136,13.398
"9",2017,"D1",9,53.5999999999999,35.3154000000001,40.1984000000001
"10",2017,"D1",10,6.50059294117643,6.66773333333335,10.0832
"11",2017,"D1",11,37.0944,24.3657788235294,25.1599999999999
"12",2017,"D1",12,17.024,151.623755294118,20.048
"13",2017,"D1",13,22.1432,34.1218666666666,36.7488
"14",2017,"D1",14,29.1999999999998,29.3288000000001,13.4535999999999
"15",2017,"D1",15,3.04,2.95216188235293,5.67299999999999
"16",2017,"D1",16,33.9947999999999,60.7771105882354,21.6804
"17",2017,"D1",17,3.42576,2.9601,1.19811764705883
"18",2017,"D1",18,22.632,32.0255999999999,23.5672
"19",2017,"D1",19,1.73264000000004,0.7104,1.62944
"20",2017,"D1",20,34.61648,10.3776,19.2864
"21",2017,"D1",21,2.72448000000002,0.544000000000002,1.16479999999998
"22",2017,"D1",22,5.45376,15.4752,14.5036
"23",2017,"D1",23,1.93333333333334,3.47543529411764,2.63883921568629
"24",2017,"D1",24,7.09060000000004,32.824,17.1287999999999
"25",2017,"D1",25,7.09333333333337,57.0172862745098,26.1648
"26",2017,"D1",26,4.74776470588242,8.45859137254904,11.1355999999999
"27",2017,"D1",27,22.2719999999999,48.4219999999999,27.5216000000001
"28",2017,"D1",28,10.4252,11.8917,16.344
"29",2017,"D1",29,33.2432,25.16,30.7856
"30",2017,"D1",30,48.1712,26.044,20.895
"31",2017,"D2",1,12.4600068705883,9.10524705882353,12.626
"32",2017,"D2",2,30.7216,54.8988235294118,48.9896
"33",2017,"D2",3,2.52857142857143,2.03644444444446,2.29216000000001
"34",2017,"D2",4,3.52864065882353,1.46349176470589,1.37765647058824
"35",2017,"D2",5,2.55995833333333,3.03221818181817,4.29155555555555
"36",2017,"D2",6,23.4752000000001,32.7505160784314,32.912
"37",2017,"D2",7,1.81055999999999,1.43136,1.4729856684492
"38",2017,"D2",8,14.8263999999999,14.7152000000001,18.33728
"39",2017,"D2",9,36.9972,46.1413333333333,37.4386666666667
"40",2017,"D2",10,8.16499999999999,15.3028,14.5008
"41",2017,"D2",11,24.7327999999999,24.7670588235294,27.075
"42",2017,"D2",12,17.7333333333332,16.2268,17.2383498039216
"43",2017,"D2",13,22.6008,53.7590666666666,29.9637
"44",2017,"D2",14,17.3952,13.452,11.9888
"45",2017,"D2",15,5.94959999999998,8.41462222222223,4.2003111111111
"46",2017,"D2",16,30.1608000000001,45.2423529411765,48.3836
"47",2017,"D2",17,2.96511585882353,5.06714999999999,4.84099999999999
"48",2017,"D2",18,19.872,38.6552,27.5199999999999
"49",2017,"D2",19,1.61616,1.00538181818182,1.62250666666667
"50",2017,"D2",20,4.63199999999997,3.6076,2.96064000000002
"51",2017,"D2",21,1.55231999999999,0.864727272727271,1.31328
"52",2017,"D2",22,4.77480000000003,5.25866666666667,5.50124999999997
"53",2017,"D2",23,5.11666666666665,7.09333333333334,6.44359999999999
"54",2017,"D2",24,7.7924,8.90623999999998,11.92
"55",2017,"D2",25,8.16666666666664,34.0516,43.74
"56",2017,"D2",26,26.5499999999999,13.332,10.9009333333334
"57",2017,"D2",27,33.408,58.1677176470589,54.18
"58",2017,"D2",28,12.7568,12.45312,12.2688
"59",2017,"D2",29,43.3424000000001,26.2807999999999,40.0506666666666
"60",2017,"D2",30,58.2608417882353,45.5386039215687,20.5208
